,text,concept
115,"For anyone wondering what it's like to fly into SG right now:  How Singapore's COVID border strategy has evolved, as told by 2 flights 363 days apart  https://t.co/EcyVgCFphU","['wondering', 'fly', 'covid', 'strategy', 'tolde', 'flighty', 'apart', 'anyone', 'border', 'singapore', 'evolved']"
116,People in England no need to wear face masks as Covid-19 restrictions lifted  https://t.co/bNGyJ7nGI3  https://t.co/tKeVeLJWEM,"['wear', 'mask', 'covid', 'restrictions', 'lift', 'face']"
117,Moderna starts trial testing Omicron-specific booster shot  https://t.co/pBPoo1bAXX  https://t.co/TcBLw8ccsC,"['trial', 'testing', 'omicron', 'specific', 'booster', 'starts']"
118,39-year-old's death due to heart failure 'not direct cause' of Covid-19 vaccination: National Heart Centre  https://t.co/7fxbqKKlqL  https://t.co/XkU7mLPnBp,"['heart failure', 'old', 'death', 'direct', 'cause', 'covid', 'vaccine', 'heart', 'national', 'year']"
119,:Expats head for the exit as 'easy' :Singapore's COVID controls bite  https://t.co/SJ0JoObDOH @RDchatters,"['expat', 'head', 'exit', 'easy', 'gape', 'covid', 'control', 'bite', 'SADNESS']"
120,"39-year-old woman's death was due to heart disease, not Covid-19 vaccination: National Heart Centre  https://t.co/0aStxZupvf","['heart disease', 'old', 'death', 'covid', 'vaccine', 'heart', 'national', 'year', 'woman']"
121,"Listening to HK's Sophia Chan talking with our @EngleTV, it's striking how so much of Hong Kong's conversation right now is the debate Singapore had in like July to August last year.   SG decided the Covid Zero path just couldn't keep going. Still strict, but they've adjusted.","['keep going', 'chan', 'striking', 'hong', 'conversation', 'bat', 'decide', 'covid', 'zero', 'strict', 'nowa', 'engletv', 'kong', 'still', 'sophia', 'path']"
122,Expats head for the exit as 'easy' Singapore's Covid controls bite  https://t.co/lK6HPw6whG  https://t.co/K7fCG9r4mL,"['expat', 'head', 'exit', 'easy', 'covid', 'control', 'bite', 'singapore']"
123,Why do you think China is holding on to its zero Covid policy?,"['holding', 'covid', 'policy', 'china']"
124,so... the hamster cull... besides not being supported by evidence in general that people can get covid from their pets... also was not supported by specific evidence that a hamster caused an outbreak in hk,"['hamster', 'cull', 'supported', 'general', 'covid', 'specific', 'outbreak', 'also', 'beside', 'evidence', 'caused']"
125,Beijing city's Covid-19 infections rise ahead of Winter Olympics  https://t.co/WjmkPubKGI  https://t.co/Rnx1ykaJay,"['covid', 'infection', 'rise', 'olympic', 'winter', 'city']"
126,China reports 63 new COVID-19 cases on Jan 26  https://t.co/pbRmnSpSeH  https://t.co/Fg4Sxlhctk,"['new', 'covid', 'reports']"
127,Singapore shrinks as Covid takes shine off expatriate life  https://t.co/jtneaNBD0Y  https://t.co/aXdxahQPuf,"['shrink', 'covid', 'shine', 'expatriate', 'takes', 'singapore']"
